Project_category,Species,SampleID,Project,Model,Groups,Drug,Drug_batch,Dosage,Dosage_unit,Gender,Birth_date,Arrival_date,Arrival_age_week,Collection_date,Age_week,Strain,Cage_num,Source,Feed_site,Batch,Comment,Time_Point,Subject_add_X,Bacteria_16s,16s_lab,Metagenome,Metagenome_lab,Metabolism,Metabolism_lab,Immunity,Path
tumor,mice,18136,ONC-2020-025,,,,,,,,,,,2020/7/7,,,,,,20200831-16s,,,X18136,y,Fengyuan,,,,,,
tumor,mice,18115,ONC-2020-025,,,,,,,,,,,2020/7/7,,,,,,20200831-16s,,,X18115,y,Fengyuan,,,,,,
tumor,mice,18094,ONC-2020-025,,,,,,,,,,,2020/7/7,,,,,,20200831-16s,,,X18094,y,Fengyuan,,,,,,
tumor,mice,18080,ONC-2020-025,,,,,,,,,,,2020/7/7,,,,,,20200831-16s,,,X18080,y,Fengyuan,,,,,,
tumor,mice,18043,ONC-2020-025,,,,,,,,,,,2020/7/7,,,,,,20200831-16s,,,X18043,y,Fengyuan,,,,,,
tumor,mice,18034,ONC-2020-025,,,,,,,,,,,2020/7/7,,,,,,20200831-16s,,,X18034,y,Fengyuan,,,,,,
tumor,mice,18116,ONC-2020-025,,,,,,,,,,,2020/7/7,,,,,,20200831-16s,,,X18116,y,Fengyuan,,,,,,
tumor,mice,18140,ONC-2020-025,,,,,,,,,,,2020/7/7,,,,,,20200831-16s,,,X18140,y,Fengyuan,,,,,,
tumor,mice,18111,ONC-2020-025,,,,,,,,,,,2020/7/7,,,,,,20200831-16s,,,X18111,y,Fengyuan,,,,,,
tumor,mice,18125,ONC-2020-025,,,,,,,,,,,2020/7/7,,,,,,20200831-16s,,,X18125,y,Fengyuan,,,,,,
tumor,mice,18059,ONC-2020-025,,,,,,,,,,,2020/7/7,,,,,,20200831-16s,,,X18059,y,Fengyuan,,,,,,
tumor,mice,18129,ONC-2020-025,,,,,,,,,,,2020/7/7,,,,,,20200831-16s,,,X18129,y,Fengyuan,,,,,,
tumor,mice,18142,ONC-2020-025,,,,,,,,,,,2020/7/7,,,,,,20200831-16s,,,X18142,y,Fengyuan,,,,,,
tumor,mice,18065,ONC-2020-025,,,,,,,,,,,2020/7/7,,,,,,20200831-16s,,,X18065,y,Fengyuan,,,,,,
tumor,mice,18078,ONC-2020-025,,,,,,,,,,,2020/7/7,,,,,,20200831-16s,,,X18078,y,Fengyuan,,,,,,
tumor,mice,18087,ONC-2020-025,,,,,,,,,,,2020/7/7,,,,,,20200831-16s,,,X18087,y,Fengyuan,,,,,,
tumor,mice,18056,ONC-2020-025,,,,,,,,,,,2020/7/7,,,,,,20200831-16s,,,X18056,y,Fengyuan,,,,,,
tumor,mice,18126,ONC-2020-025,,,,,,,,,,,2020/7/7,,,,,,20200831-16s,,,X18126,y,Fengyuan,,,,,,
tumor,mice,18106,ONC-2020-025,,,,,,,,,,,2020/7/7,,,,,,20200831-16s,,,X18106,y,Fengyuan,,,,,,
tumor,mice,18035,ONC-2020-025,,,,,,,,,,,2020/7/7,,,,,,20200831-16s,,,X18035,y,Fengyuan,,,,,,
tumor,mice,18113,ONC-2020-025,,,,,,,,,,,2020/7/7,,,,,,20200831-16s,,,X18113,y,Fengyuan,,,,,,
tumor,mice,18110,ONC-2020-025,,,,,,,,,,,2020/7/7,,,,,,20200831-16s,,,X18110,y,Fengyuan,,,,,,
tumor,mice,18031,ONC-2020-025,,,,,,,,,,,2020/7/7,,,,,,20200831-16s,,,X18031,y,Fengyuan,,,,,,
tumor,mice,18084,ONC-2020-025,,,,,,,,,,,2020/7/7,,,,,,20200831-16s,,,X18084,y,Fengyuan,,,,,,
tumor,mice,18068,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/7/7,,BALB/c,9,GVRI,Pengli,20200831-16s,,time1,X18068,y,Fengyuan,,,,,,
tumor,mice,18047,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/7/7,,BALB/c,9,GVRI,Pengli,20200831-16s,,time1,X18047,y,Fengyuan,,,,,,
tumor,mice,18072,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/7/7,,BALB/c,9,GVRI,Pengli,20200831-16s,,time1,X18072,y,Fengyuan,,,,,,
tumor,mice,18074,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/7/7,,BALB/c,9,GVRI,Pengli,20200831-16s,,time1,X18074,y,Fengyuan,,,,,,
tumor,mice,18092,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/7/7,,BALB/c,9,GVRI,Pengli,20200831-16s,,time1,X18092,y,Fengyuan,,,,,,
tumor,mice,18130,ONC-2020-025,CT26,CT26_CTX__200_mpk,CTX,,200,mpk,female,,,5,2020/7/7,,BALB/c,9,GVRI,Pengli,20200831-16s,,time1,X18130,y,Fengyuan,,,,,,
tumor,mice,18048,ONC-2020-025,CT26,CT26_CTX/GV009_NA/201906_200/30_mpk/mpk,CTX/GV009,NA/201906,200/30,mpk/mpk,female,,,5,2020/7/7,,BALB/c,12,GVRI,Pengli,20200831-16s,,time1,X18048,y,Fengyuan,,,,,,
tumor,mice,18135,ONC-2020-025,CT26,CT26_CTX/GV009_NA/201906_200/30_mpk/mpk,CTX/GV009,NA/201906,200/30,mpk/mpk,female,,,5,2020/7/7,,BALB/c,12,GVRI,Pengli,20200831-16s,,time1,X18135,y,Fengyuan,,,,,,
tumor,mice,18062,ONC-2020-025,CT26,CT26_CTX/GV009_NA/201902_200/30_mpk/mpk,CTX/GV009,NA/201902,200/30,mpk/mpk,female,,,5,2020/7/7,,BALB/c,10,GVRI,Pengli,20200831-16s,,time1,X18062,y,Fengyuan,,,,,,
tumor,mice,18070,ONC-2020-025,CT26,CT26_CTX/GV009_NA/201902_200/30_mpk/mpk,CTX/GV009,NA/201902,200/30,mpk/mpk,female,,,5,2020/7/7,,BALB/c,10,GVRI,Pengli,20200831-16s,,time1,X18070,y,Fengyuan,,,,,,
tumor,mice,18076,ONC-2020-025,CT26,CT26_CTX/GV009_NA/201902_200/30_mpk/mpk,CTX/GV009,NA/201902,200/30,mpk/mpk,female,,,5,2020/7/7,,BALB/c,10,GVRI,Pengli,20200831-16s,,time1,X18076,y,Fengyuan,,,,,,
tumor,mice,18077,ONC-2020-025,CT26,CT26_CTX/GV009_NA/201902_200/30_mpk/mpk,CTX/GV009,NA/201902,200/30,mpk/mpk,female,,,5,2020/7/7,,BALB/c,10,GVRI,Pengli,20200831-16s,,time1,X18077,y,Fengyuan,,,,,,
tumor,mice,18088,ONC-2020-025,CT26,CT26_CTX/GV009_NA/201902_200/30_mpk/mpk,CTX/GV009,NA/201902,200/30,mpk/mpk,female,,,5,2020/7/7,,BALB/c,10,GVRI,Pengli,20200831-16s,,time1,X18088,y,Fengyuan,,,,,,
tumor,mice,18122,ONC-2020-025,CT26,CT26_CTX/GV009_NA/201902_200/30_mpk/mpk,CTX/GV009,NA/201902,200/30,mpk/mpk,female,,,5,2020/7/7,,BALB/c,10,GVRI,Pengli,20200831-16s,,time1,X18122,y,Fengyuan,,,,,,
tumor,mice,18051,ONC-2020-025,CT26,CT26_CTX/GV009_NA/201906_200/30_mpk/mpk,CTX/GV009,NA/201906,200/30,mpk/mpk,female,,,5,2020/7/7,,BALB/c,12,GVRI,Pengli,20200831-16s,,time1,X18051,y,Fengyuan,,,,,,
tumor,mice,18021,ONC-2020-025,CT26,CT26_CTX/GV009_NA/201906_200/30_mpk/mpk,CTX/GV009,NA/201906,200/30,mpk/mpk,female,,,5,2020/7/7,,BALB/c,12,GVRI,Pengli,20200831-16s,,time1,X18021,y,Fengyuan,,,,,,
tumor,mice,18109,ONC-2020-025,CT26,CT26_CTX/GV009_NA/201905_200/30_mpk/mpk,CTX/GV009,NA/201905,200/30,mpk/mpk,female,,,5,2020/7/7,,BALB/c,11,GVRI,Pengli,20200831-16s,,time1,X18109,y,Fengyuan,,,,,,
tumor,mice,18027,ONC-2020-025,CT26,CT26_CTX/GV009_NA/201905_200/30_mpk/mpk,CTX/GV009,NA/201905,200/30,mpk/mpk,female,,,5,2020/7/7,,BALB/c,11,GVRI,Pengli,20200831-16s,,time1,X18027,y,Fengyuan,,,,,,
tumor,mice,18127,ONC-2020-025,CT26,CT26_CTX/GV009_NA/201905_200/30_mpk/mpk,CTX/GV009,NA/201905,200/30,mpk/mpk,female,,,5,2020/7/7,,BALB/c,11,GVRI,Pengli,20200831-16s,,time1,X18127,y,Fengyuan,,,,,,
tumor,mice,18049,ONC-2020-025,CT26,CT26_CTX/GV009_NA/201905_200/30_mpk/mpk,CTX/GV009,NA/201905,200/30,mpk/mpk,female,,,5,2020/7/7,,BALB/c,11,GVRI,Pengli,20200831-16s,,time1,X18049,y,Fengyuan,,,,,,
